0,      0,      0
1.1,    1.1,    2.2
2,      2,      4
4,      4,      8
1,      9,      10
0.1,    0.1,    0.2
3,      2,      5
3,      0.3,    3.3
8,      1,      9
0.3,    0.4,    0.7
4,      1,      5
0,      10,     10
2,      7,      9
2,      1,      3
0.5,    0.4,    0.9
4,      5,      9
0.5,    0.5,    1.0
6,      4,      10
1,      1,      2
3,      5,      8
2.5,    1.5,    4.0
0.6,    0.9,    1.5
7,      3,      10
1.2,    2.3,    3.5
5,      0.5,    5.5
0.3,    0.2,    0.5
9,      1,      10
0.8,    1.1,    1.9
4.4,    0.6,    5.0
2.2,    2.8,    5.0
6,      1.5,    7.5
0.7,    0.8,    1.5
3.3,    1.7,    5.0
1.5,    0.5,    2.0
5.5,    4.5,    10.0
0.9,    0.1,    1.0
8.2,    1.8,    10.0
2.5,    6.5,    9.0
3.5,    1.5,    5.0
0.4,    0.6,    1.0
1.1,    0.9,    2.0
2.5,    3.5,    6.0
0.0,    5.0,    5.0
7.3,    2.7,    10.0
0.5,    0.3,    0.8
1.4,    3.6,    5.0
4.2,    0.8,    5.0
6.1,    3.9,    10.0
5.5,    0.5,    6.0
1.6,    1.4,    3.0
0.9,    9.1,    10.0
2.2,    1.8,    4.0
0.3,    0.6,    0.9
4.7,    4.3,    9.0
3.1,    1.9,    5.0
2.3,    6.7,    9.0
7.0,    2.0,    9.0
3.8,    0.2,    4.0
0.4,    0.5,    0.9
5.5,    3.5,    9.0
0.6,    0.6,    1.2
4.0,    1.0,    5.0
8.5,    1.5,    10.0
1.1,    0.4,    1.5
2.6,    2.4,    5.0
0.8,    0.2,    1.0
9.5,    0.5,    10.0
3.3,    1.7,    5.0
6.8,    3.2,    10.0
2.0,    2.5,    4.5
0.7,    0.3,    1.0
5.2,    3.8,    9.0
3.0,    0.5,    3.5
1.9,    0.1,    2.0
4.9,    5.1,    10.0
0.2,    0.3,    0.5
3.7,    1.3,    5.0
2.1,    2.9,    5.0
0.6,    0.7,    1.3
7.2,    2.8,    10.0
1.22,3.98,5.2
3.83,4.12,7.95
1.71,2.99,4.7
2.33,4.31,6.64
9.19,4.91,14.1
8.18,2.9,11.08
1.89,1.72,3.61
2.22,7.78,10.0
1.61,1.23,2.84
4.65,8.83,13.48
3.39,4.81,8.2
6.82,1.2,8.02
5.17,4.7,9.87
2.2,3.29,5.49
8.27,1.86,10.13
3.48,1.29,4.77
2.83,0.77,3.6
8.51,0.93,9.44
3.09,4.78,7.87
3.83,3.92,7.75
6.33,4.7,11.03
5.33,4.12,9.45
3.0,3.44,6.44
9.26,1.79,11.05
3.19,3.77,6.96
4.84,0.0,4.84
8.94,3.89,12.83
3.23,7.3,10.53
4.29,2.49,6.78
2.11,4.27,6.38
7.92,1.14,9.06
9.42,0.64,10.06
4.21,5.04,9.25
8.64,3.79,12.43
0.17,9.11,9.28
6.67,2.71,9.38
1.58,6.38,7.96
4.65,8.13,12.78
0.87,1.83,2.7
8.51,2.05,10.56
5.13,3.32,8.45
9.91,6.16,16.07
7.22,3.15,10.37
3.9,0.73,4.63
1.66,2.88,4.54
0.29,4.27,4.56
9.15,6.06,15.21
0.71,1.83,2.54
8.92,0.0,8.92
4.26,9.07,13.33
0.56,5.31,5.87
7.23,1.25,8.48
8.69,0.32,9.01
8.88,8.16,17.04
4.52,2.21,6.73
9.01,4.15,13.16
4.11,0.93,5.04
6.47,1.15,7.62
2.54,8.8,11.34
7.45,9.28,16.73
7.1,4.99,12.09
4.56,1.95,6.51
3.78,5.73,9.51
1.0,9.49,10.49
0.97,4.44,5.41
8.07,4.6,12.67
8.97,4.02,12.99
4.77,2.5,7.27
6.6,6.87,13.47
7.79,7.67,15.46
9.53,1.57,11.1
6.27,2.49,8.76
1.71,7.02,8.73
8.67,5.7,14.37
5.18,3.58,8.76
9.59,2.63,12.22
6.63,2.57,9.2
9.49,7.27,16.76
8.09,4.67,12.76
7.68,6.19,13.87
1.19,6.09,7.28
8.95,0.39,9.34
9.86,2.17,12.03
2.24,8.16,10.4
1.15,1.06,2.21
4.0,9.58,13.58
5.22,6.73,11.95
8.23,0.55,8.78
0.07,8.77,8.84
7.5,5.75,13.25
7.84,6.52,14.36
3.21,5.97,9.18
4.86,8.57,13.43
4.39,5.01,9.4
2.96,9.99,12.95
5.2,1.77,6.97
1.4,5.66,7.06
1.43,0.1,1.53
6.41,9.81,16.22
3.34,6.52,9.86
5.64,7.22,12.86
6.03,7.5,13.53
0.81,2.49,3.3
2.79,3.93,6.72
9.73,3.39,13.12
1.69,5.02,6.71
9.18,9.86,19.04
8.91,6.83,15.74
5.5,7.52,13.02
4.91,9.28,14.19
1.87,5.81,7.68
5.04,3.73,8.77
3.92,0.91,4.83
8.7,0.77,9.47
1.37,1.19,2.56
6.53,7.83,14.36
3.28,2.27,5.55
7.48,8.57,16.05
2.26,3.65,5.91
7.55,4.5,12.05
2.11,3.52,5.63
0.85,5.27,6.12
5.73,9.3,15.03
2.49,8.16,10.65
8.82,9.94,18.76
0.28,3.19,3.47
9.46,2.22,11.68
5.88,2.37,8.25
4.72,7.31,12.03
0.71,5.85,6.56
3.76,7.19,10.95
1.94,2.39,4.33
7.19,7.22,14.41
7.28,0.26,7.54
9.21,0.69,9.9
5.55,7.13,12.68
0.3,4.84,5.14
8.1,9.72,17.82
5.37,5.85,11.22
0.41,0.15,0.56
6.66,8.11,14.77
2.04,4.22,6.26
7.41,1.96,9.37
9.54,9.04,18.58
9.01,1.13,10.14
7.72,5.1,12.82
6.8,4.54,11.34
7.52,5.39,12.91
3.71,3.75,7.46
4.49,5.65,10.14
6.53,5.73,12.26
0.85,3.49,4.34
3.45,5.21,8.66
2.42,7.58,10.0
4.46,1.01,5.47
1.92,6.87,8.79
3.57,5.52,9.09
2.09,7.49,9.58
3.06,2.64,5.7
4.37,4.45,8.82
6.72,4.83,11.55
7.74,7.58,15.32
1.34,9.71,11.05
4.59,8.32,12.91
3.36,1.67,5.03
8.26,5.95,14.21
6.9,1.09,7.99
1.25,6.23,7.48
6.01,1.28,7.29
0.35,1.38,1.73
0.98,4.22,5.2
5.16,7.94,13.1
5.79,7.94,13.73
4.74,2.16,6.9
4.07,5.33,9.4
5.75,7.17,12.92
6.87,5.89,12.76
9.0,1.6,10.6
6.5,1.65,8.15
0.64,9.86,10.5
3.1,7.48,10.58
5.91,1.23,7.14
0.13,1.67,1.8
7.85,4.03,11.88
7.8,3.54,11.34
4.26,4.29,8.55
5.58,6.69,12.27
8.85,7.08,15.93
1.96,5.79,7.75
0.44,1.84,2.28
8.61,4.91,13.52
0.47,2.33,2.8
4.83,6.55,11.38
7.54,7.1,14.64
8.08,5.16,13.24
6.56,4.85,11.41
7.28,9.61,16.89
1.5,0.36,1.86
1.28,9.95,11.23
5.45,0.8,6.25
0.06,4.73,4.79
2.72,0.62,3.34
7.66,4.76,12.42
6.25,4.36,10.61
2.56,1.1,3.66
7.5,7.24,14.74
1.7,2.95,4.65
0.87,0.97,1.84
7.6,6.58,14.18
3.54,8.97,12.51
3.95,9.89,13.84
5.97,3.36,9.33
3.76,0.21,3.97
6.2,4.81,11.01
8.79,7.98,16.77
9.1,6.41,15.51
5.87,5.05,10.92
6.46,2.81,9.27
6.33,4.65,10.98
1.57,9.05,10.62
7.34,7.8,15.14
9.23,2.96,12.19
1.75,8.47,10.22
0.81,2.83,3.64
5.39,1.44,6.83
0.68,7.28,7.96
3.25,6.65,9.9
9.56,1.03,10.59
3.2,8.28,11.48
0.68,3.97,4.65
9.44,6.32,15.76
1.69,1.72,3.41
7.95,3.05,11.0
0.51,0.79,1.3
5.7,7.13,12.83
6.66,2.43,9.09
2.24,4.18,6.42
2.61,0.04,2.65
3.28,0.19,3.47
2.24,1.13,3.37
9.64,9.88,19.52
3.4,0.56,3.96
5.13,8.1,13.23
0.79,5.68,6.47
9.64,7.05,16.69
0.45,7.44,7.89
8.55,1.01,9.56
3.53,9.25,12.78
4.81,7.59,12.4
4.97,5.77,10.74
4.86,8.24,13.1
3.69,2.24,5.93
1.96,1.54,3.5
3.21,6.42,9.63
4.16,0.28,4.44
3.44,3.74,7.18
5.23,2.15,7.38
3.39,4.5,7.89
3.26,5.73,8.99
9.86,2.98,12.84
8.31,0.2,8.51
2.76,5.41,8.17
0.06,5.62,5.68
2.97,4.07,7.04
6.07,9.0,15.07
1.6,4.64,6.24
3.8,6.44,10.24
9.8,1.92,11.72
8.65,7.3,15.95
4.71,1.65,6.36
9.68,8.24,17.92
5.59,0.98,6.57
1.82,8.98,10.8
1.9,4.35,6.25
5.4,4.06,9.46
7.3,2.29,9.59
